CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
6H,662,ISRAIR AIRLINES,2024-02-28T15:50:00,2024-02-28T15:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
AF,963,AIR FRANCE,2024-02-28T15:55:00,2024-02-28T15:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,56-61,C,ON TIME,בזמן
LY,358,EL AL ISRAEL AIRLINES,2024-02-28T16:00:00,2024-02-28T16:00:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,382,EL AL ISRAEL AIRLINES,2024-02-28T16:00:00,2024-02-28T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3184,SAS,2024-02-28T16:00:00,2024-02-28T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-02-28T16:05:00,2024-02-28T16:05:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,5102,EL AL ISRAEL AIRLINES,2024-02-28T15:40:00,2024-02-28T16:05:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,DELAYED,עיכוב
AM,7851,AERO MEXICO,2024-02-28T16:10:00,2024-02-28T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
LO,154,LOT POLISH AIRLINES,2024-02-28T16:10:00,2024-02-28T16:10:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,34-37,B,ON TIME,בזמן
LY,339,EL AL ISRAEL AIRLINES,2024-02-28T16:10:00,2024-02-28T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
SK,3151,SAS,2024-02-28T16:10:00,2024-02-28T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
LY,5130,EL AL ISRAEL AIRLINES,2024-02-28T16:20:00,2024-02-28T16:20:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
LH,687,LUFTHANSA,2024-02-28T16:35:00,2024-02-28T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
SN,7174,BRUSSELS AIRLINES,2024-02-28T16:35:00,2024-02-28T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
UA,9123,UNITED AIRLINES,2024-02-28T16:35:00,2024-02-28T16:35:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,ON TIME,בזמן
IB,2393,IBERIA,2024-02-28T16:40:00,2024-02-28T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,394,EL AL ISRAEL AIRLINES,2024-02-28T16:40:00,2024-02-28T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
6H,561,ISRAIR AIRLINES,2024-02-28T16:40:00,2024-02-28T16:40:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,38-41,B,CANCELED,מבוטלת
AM,7853,AERO MEXICO,2024-02-28T16:50:00,2024-02-28T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,325,EL AL ISRAEL AIRLINES,2024-02-28T16:50:00,2024-02-28T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,338,EL AL ISRAEL AIRLINES,2024-02-28T16:50:00,2024-02-28T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
SK,3150,SAS,2024-02-28T16:50:00,2024-02-28T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,557,EL AL ISRAEL AIRLINES,2024-02-28T16:55:00,2024-02-28T16:55:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,78-99,D,ON TIME,בזמן
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-02-28T17:00:00,2024-02-28T17:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,ON TIME,בזמן
AM,7866,AERO MEXICO,2024-02-28T17:05:00,2024-02-28T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
AR,7873,AEROLINEAS ARGENTINAS S.A.,2024-02-28T17:05:00,2024-02-28T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
IB,2396,IBERIA,2024-02-28T17:05:00,2024-02-28T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,397,EL AL ISRAEL AIRLINES,2024-02-28T17:05:00,2024-02-28T17:05:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,351,EL AL ISRAEL AIRLINES,2024-02-28T17:10:00,2024-02-28T17:10:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,78-99,D,ON TIME,בזמן
LY,5109,EL AL ISRAEL AIRLINES,2024-02-28T17:30:00,2024-02-28T17:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,CANCELED,מבוטלת
LY,5109,EL AL ISRAEL AIRLINES,2024-02-28T17:10:00,2024-02-28T17:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
AA,9258,AMERICAN AIRLINES,2024-02-28T17:15:00,2024-02-28T17:15:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AM,7877,AERO MEXICO,2024-02-28T17:15:00,2024-02-28T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,317,EL AL ISRAEL AIRLINES,2024-02-28T17:15:00,2024-02-28T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,320,EL AL ISRAEL AIRLINES,2024-02-28T17:15:00,2024-02-28T17:15:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,083,EL AL ISRAEL AIRLINES,2024-02-28T17:25:00,2024-02-28T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
QF,5018,QANTAS AIRWAYS,2024-02-28T17:25:00,2024-02-28T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
TG,4586,THAI AIRWAYS,2024-02-28T17:25:00,2024-02-28T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
IZ,604,ARKIA  ISRAELI  AIRLINES,2024-02-28T17:40:00,2024-02-28T17:40:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
LY,2523,EL AL ISRAEL AIRLINES,2024-02-28T17:45:00,2024-02-28T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
AA,9266,AMERICAN AIRLINES,2024-02-28T17:50:00,2024-02-28T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
AM,7859,AERO MEXICO,2024-02-28T17:50:00,2024-02-28T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-02-28T17:50:00,2024-02-28T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
IB,2390,IBERIA,2024-02-28T17:50:00,2024-02-28T17:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
IB,2395,IBERIA,2024-02-28T17:50:00,2024-02-28T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,391,EL AL ISRAEL AIRLINES,2024-02-28T17:50:00,2024-02-28T17:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
LY,396,EL AL ISRAEL AIRLINES,2024-02-28T17:50:00,2024-02-28T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,571,EL AL ISRAEL AIRLINES,2024-02-28T17:50:00,2024-02-28T17:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
LY,312,EL AL ISRAEL AIRLINES,2024-02-28T18:40:00,2024-02-28T18:40:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
IZ,1801,ARKIA  ISRAELI  AIRLINES,2024-02-28T18:50:00,2024-02-28T18:50:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,ON TIME,בזמן
LY,2367,EL AL ISRAEL AIRLINES,2024-02-28T18:50:00,2024-02-28T18:50:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-02-28T19:15:00,2024-02-28T19:15:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,543,EL AL ISRAEL AIRLINES,2024-02-28T19:15:00,2024-02-28T19:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
LY,5133,EL AL ISRAEL AIRLINES,2024-02-28T19:20:00,2024-02-28T19:20:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
AA,9259,AMERICAN AIRLINES,2024-02-28T20:00:00,2024-02-28T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AM,7862,AERO MEXICO,2024-02-28T20:00:00,2024-02-28T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,324,EL AL ISRAEL AIRLINES,2024-02-28T20:00:00,2024-02-28T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3160,SAS,2024-02-28T20:00:00,2024-02-28T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-02-28T20:05:00,2024-02-28T20:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,081,EL AL ISRAEL AIRLINES,2024-02-28T20:05:00,2024-02-28T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-02-28T20:05:00,2024-02-28T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-02-28T20:05:00,2024-02-28T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-02-28T20:05:00,2024-02-28T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
6H,723,ISRAIR AIRLINES,2024-02-28T20:05:00,2024-02-28T20:05:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,34-37,B,ON TIME,בזמן
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-02-28T20:10:00,2024-02-28T20:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,ON TIME,בזמן
LY,5108,EL AL ISRAEL AIRLINES,2024-02-28T20:50:00,2024-02-28T20:50:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-02-28T20:55:00,2024-02-28T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
S7,4483,SIBERIA AIRLINES,2024-02-28T20:55:00,2024-02-28T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
LY,051,EL AL ISRAEL AIRLINES,2024-02-28T21:00:00,2024-02-28T21:00:00,D,JNB,JOHANNESBURG,יוהנסבורג,JOHANNESBURG,דרום אפריקה,SOUTH AFRICA,3,78-99,D,ON TIME,בזמן
QF,5024,QANTAS AIRWAYS,2024-02-28T21:00:00,2024-02-28T21:00:00,D,JNB,JOHANNESBURG,יוהנסבורג,JOHANNESBURG,דרום אפריקה,SOUTH AFRICA,3,78-99,D,ON TIME,בזמן
AA,9260,AMERICAN AIRLINES,2024-02-28T21:05:00,2024-02-28T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
IZ,1802,ARKIA  ISRAELI  AIRLINES,2024-02-28T21:05:00,2024-02-28T21:05:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,316,EL AL ISRAEL AIRLINES,2024-02-28T21:05:00,2024-02-28T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,974,EL AL ISRAEL AIRLINES,2024-02-28T21:25:00,2024-02-28T21:25:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-28T21:50:00,2024-02-28T21:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-59,C,ON TIME,בזמן
6H,562,ISRAIR AIRLINES,2024-02-28T21:55:00,2024-02-28T21:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,088,EL AL ISRAEL AIRLINES,2024-02-28T22:05:00,2024-02-28T22:05:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
6H,726,ISRAIR AIRLINES,2024-02-28T22:10:00,2024-02-28T22:10:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-02-28T22:15:00,2024-02-28T22:15:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
6H,561,ISRAIR AIRLINES,2024-02-28T23:00:00,2024-02-28T23:00:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,ON TIME,בזמן
LY,5134,EL AL ISRAEL AIRLINES,2024-02-28T23:10:00,2024-02-28T23:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,558,EL AL ISRAEL AIRLINES,2024-02-28T23:15:00,2024-02-28T23:15:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
6H,768,ISRAIR AIRLINES,2024-02-28T23:20:00,2024-02-28T23:20:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
LY,282,EL AL ISRAEL AIRLINES,2024-02-28T23:30:00,2024-02-28T23:30:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,5110,EL AL ISRAEL AIRLINES,2024-02-28T23:50:00,2024-02-28T23:30:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,EARLY,הוקדמה
LY,572,EL AL ISRAEL AIRLINES,2024-02-29T00:20:00,2024-02-29T00:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
LY,544,EL AL ISRAEL AIRLINES,2024-02-29T00:25:00,2024-02-29T00:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
IZ,512,ARKIA  ISRAELI  AIRLINES,2024-02-29T00:35:00,2024-02-29T00:35:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-02-29T00:45:00,2024-02-29T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-02-29T00:45:00,2024-02-29T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-29T00:45:00,2024-02-29T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-02-29T00:45:00,2024-02-29T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-02-29T00:45:00,2024-02-29T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-02-29T00:45:00,2024-02-29T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-02-29T00:45:00,2024-02-29T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-02-29T00:45:00,2024-02-29T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-02-29T00:45:00,2024-02-29T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,328,EL AL ISRAEL AIRLINES,2024-02-29T00:55:00,2024-02-29T00:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,388,EL AL ISRAEL AIRLINES,2024-02-29T00:55:00,2024-02-29T00:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3162,SAS,2024-02-29T00:55:00,2024-02-29T00:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3180,SAS,2024-02-29T00:55:00,2024-02-29T00:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8901,AIR PORTUGAL,2024-02-29T00:55:00,2024-02-29T00:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-02-29T01:00:00,2024-02-29T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-02-29T01:00:00,2024-02-29T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-02-29T01:00:00,2024-02-29T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-02-29T01:00:00,2024-02-29T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-02-29T01:00:00,2024-02-29T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-02-29T01:00:00,2024-02-29T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-02-29T01:00:00,2024-02-29T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-02-29T01:05:00,2024-02-29T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7435,DELTA AIRLINES,2024-02-29T01:05:00,2024-02-29T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
ET,404,ETHIOPIAN AIRLINES,2024-02-29T01:05:00,2024-02-29T01:05:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,015,EL AL ISRAEL AIRLINES,2024-02-29T01:05:00,2024-02-29T01:05:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,8804,EL AL ISRAEL AIRLINES,2024-02-29T01:05:00,2024-02-29T01:05:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,344,EL AL ISRAEL AIRLINES,2024-02-29T01:20:00,2024-02-29T01:20:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
SK,3190,SAS,2024-02-29T01:20:00,2024-02-29T01:20:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
ET,405,ETHIOPIAN AIRLINES,2024-02-29T02:05:00,2024-02-29T02:05:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2024-02-29T02:05:00,2024-02-29T02:05:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,ON TIME,בזמן
LY,352,EL AL ISRAEL AIRLINES,2024-02-29T02:15:00,2024-02-29T02:15:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3178,SAS,2024-02-29T02:15:00,2024-02-29T02:15:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
6H,724,ISRAIR AIRLINES,2024-02-29T02:15:00,2024-02-29T02:15:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,376,EL AL ISRAEL AIRLINES,2024-02-29T02:30:00,2024-02-29T02:30:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
TP,8913,AIR PORTUGAL,2024-02-29T02:30:00,2024-02-29T02:30:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
LY,2360,EL AL ISRAEL AIRLINES,2024-02-29T02:40:00,2024-02-29T02:40:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
LY,2524,EL AL ISRAEL AIRLINES,2024-02-29T02:45:00,2024-02-29T02:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
OS,859,AUSTRIAN AIRLINES,2024-02-29T02:50:00,2024-02-29T02:50:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
AM,7850,AERO MEXICO,2024-02-29T02:55:00,2024-02-29T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
IZ,1212,ARKIA  ISRAELI  AIRLINES,2024-02-29T02:55:00,2024-02-29T02:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,336,EL AL ISRAEL AIRLINES,2024-02-29T02:55:00,2024-02-29T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
